Strategy,CAGR,Ann. Vol,Sharpe,Max DD,Calmar,bucket,target_dte,roll_dte,stop_loss_rolls,misses
10% OTM/120/5,0.26283168989307115,0.31864084243361745,0.8928281118672083,-0.22078523368656988,1.1904405267708758,10% OTM,120,5,23,0
10% OTM/120/7,0.26283168989307115,0.31864084243361745,0.8928281118672083,-0.22078523368656988,1.1904405267708758,10% OTM,120,7,23,0
10% OTM/120/10,0.12458667247140753,0.30090449454037277,0.5410694560861313,-0.24829707937814738,0.5017645506883575,10% OTM,120,10,21,0
10% OTM/120/14,0.06957986726557608,0.3039861692662797,0.37279663127770274,-0.31720682830941105,0.21935173223227789,10% OTM,120,14,20,0
10% OTM/120/21,0.1508027323746124,0.3192965264297455,0.5999283160723091,-0.27283965064219284,0.552715604274021,10% OTM,120,21,21,0
10% OTM/120/30,0.17636821117659918,0.3243318051455075,0.6633407385675814,-0.23181021643148947,0.7608301907121684,10% OTM,120,30,18,0
10% OTM/120/45,0.12411182469766846,0.32324900654767236,0.5248656746426558,-0.32954466951557015,0.3766160893456797,10% OTM,120,45,19,0
10% OTM/120/60,0.16127300061957617,0.3280394803368017,0.6206064132883167,-0.1958314682986778,0.8235295482419922,10% OTM,120,60,22,0
10% OTM/150/3,0.21656753856457622,0.29304127965739474,0.8171290755531281,-0.16556133725155542,1.308080389780384,10% OTM,150,3,19,0
10% OTM/150/5,0.07297999568308389,0.3078309527389899,0.3820891917862304,-0.5041084534802931,0.14477042624308395,10% OTM,150,5,15,0
10% OTM/150/7,0.07297999568308389,0.3078309527389899,0.3820891917862304,-0.5041084534802931,0.14477042624308395,10% OTM,150,7,15,0
10% OTM/150/10,0.01807902204992029,0.3494033108935976,0.22498130388225387,-0.542700671809971,0.033313063699782444,10% OTM,150,10,11,0
10% OTM/150/14,0.07199682826617115,0.34623078777538663,0.37389851749962427,-0.4660258121777605,0.15449107406674878,10% OTM,150,14,12,0
10% OTM/150/21,0.06420230735761034,0.3419792277496073,0.353069319400531,-0.317646831516435,0.20211851964998592,10% OTM,150,21,15,0
10% OTM/150/30,0.12545110477838972,0.3285594885436991,0.5239620354770862,-0.3523763439045695,0.3560145479356139,10% OTM,150,30,13,0
10% OTM/150/45,0.10470000501035992,0.34840325824456747,0.46096563794540385,-0.31654471612926216,0.33075897235196716,10% OTM,150,45,17,0
10% OTM/150/60,0.20987363435699757,0.31822192315588127,0.7588941702894542,-0.19116618385609918,1.0978596220499985,10% OTM,150,60,20,0
10% OTM/180/3,0.12636241827296835,0.36705398474688616,0.506451023832998,-0.35088151340214746,0.36012845774563107,10% OTM,180,3,14,0
10% OTM/180/5,0.12896474802855007,0.3643759228973429,0.5138827251996568,-0.3485425473043453,0.3700114922151493,10% OTM,180,5,14,0
10% OTM/180/7,0.12896474802855007,0.3643759228973429,0.5138827251996568,-0.3485425473043453,0.3700114922151493,10% OTM,180,7,14,0
10% OTM/180/10,0.05015719963911036,0.4356767128073915,0.3264552838509639,-0.3630161709811993,0.13816794856146508,10% OTM,180,10,12,0
10% OTM/180/14,0.11322654549094491,0.34569804179708596,0.4833812193422579,-0.2497032039498922,0.4534445041148371,10% OTM,180,14,14,0
10% OTM/180/21,0.09046163277464281,0.3372746553230816,0.42532880015901053,-0.23877953847275002,0.37885001936615464,10% OTM,180,21,13,0
10% OTM/180/30,0.05384535967369386,0.34258271402781737,0.32367967907414863,-0.35125980150576175,0.15329212008568144,10% OTM,180,30,13,0
10% OTM/180/45,0.11589497014330008,0.34287422862524136,0.4924289172617313,-0.3106928728655538,0.3730210129198919,10% OTM,180,45,16,0
10% OTM/180/60,0.10141006913414063,0.4155544247852097,0.43951392278838597,-0.5363941918478463,0.18905885014300572,10% OTM,180,60,17,0
10% OTM/210/3,0.11474523566029338,0.37169324219477284,0.47667904828875124,-0.3728133759846102,0.3077819709586549,10% OTM,210,3,14,0
10% OTM/210/5,0.1248214691615468,0.3731924582798211,0.5005797420368938,-0.34315182979795256,0.36374997398394043,10% OTM,210,5,13,0
10% OTM/210/7,0.1248214691615468,0.3731924582798211,0.5005797420368938,-0.34315182979795256,0.36374997398394043,10% OTM,210,7,13,0
10% OTM/210/10,0.11534305083795471,0.38748507081326855,0.4738691792913173,-0.3201935941157319,0.36022910188598184,10% OTM,210,10,11,0
10% OTM/210/14,0.12834751848610804,0.32707967405189803,0.532966297559152,-0.24855568309643594,0.5163733006913831,10% OTM,210,14,14,0
10% OTM/210/21,0.11122347301205959,0.3267034101652617,0.48645145865265044,-0.21243800055131357,0.5235573330732511,10% OTM,210,21,11,0
10% OTM/210/30,0.09089429143524619,0.3252791255864029,0.4299384421002223,-0.28728501992371547,0.3163906404148114,10% OTM,210,30,12,0
10% OTM/210/45,0.11683406236912175,0.3449373778129935,0.49399387650483173,-0.3069919990431704,0.38057689690046964,10% OTM,210,45,16,0
10% OTM/210/60,0.12846665587338157,0.4253725464454076,0.4960624211029715,-0.4725164539458677,0.2718776347375597,10% OTM,210,60,17,0
10% OTM/240/3,0.14845268679852208,0.3724351003675282,0.5569112587860312,-0.32717111449665826,0.45374631261965637,10% OTM,240,3,14,0
10% OTM/240/5,0.14287405622979987,0.36982268386129347,0.5450281313176915,-0.3220294088066571,0.44366772823403805,10% OTM,240,5,14,0
10% OTM/240/7,0.14287405622979987,0.36982268386129347,0.5450281313176915,-0.3220294088066571,0.44366772823403805,10% OTM,240,7,14,0
